path,control_profile,apply_safety_filter_to_final_control,apply_safety_filter_to_nominal_trajectory,apply_safety_filter_to_samples,cost_from_obstacles_or_BRT,mppi_samples,mppi_horizon,mppi_temperature,mppi_angvel_control_noise_mean,mppi_angvel_control_noise_stddev,mppi_initial_control_is_mean,save_samples,episode_id,init_state,goal_state,goal_state_threshold,timestep,trial_max_duration,brt_filename,safety_filter_type,safety_filter_value_threshold,dynamics_name,state_dim,state_labels,control_dim,control_labels,dynamics_linvel,dynamics_angvel_min,dynamics_angvel_max,Phi_terminal_state_cost_weights,Q_running_state_cost_weights,action_cost_weights,crashed,goal_reached,time_elapsed,total_cost,terminal_state,control_compute_time_avg,control_compute_time_std,relative_cost
experiments_nov_6_no_lookahead/exp_samples-0020_ep-000_control-0,Vanilla MPPI with obstacle costs,False,False,False,obs,20,50,5.0,0.0,4.0,False,False,0,"(4.5555, -2.182979, -3.079091)","(-2.965385, 0.077618, 0.0)",0.1,0.02,20.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.004,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",2.0,-3.0,3.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,False,True,3.94,4264.07766,"(-2.9042715372422188, 0.06517985612917976, 2.5165649472691696)",False,False,1.0025761387749645
experiments_nov_6_no_lookahead/exp_samples-0020_ep-000_control-1,Vanilla MPPI with BRT costs,False,False,False,brt,20,50,5.0,0.0,4.0,False,False,0,"(4.5555, -2.182979, -3.079091)","(-2.965385, 0.077618, 0.0)",0.1,0.02,20.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.004,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",2.0,-3.0,3.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,False,True,3.92,4280.79264,"(-2.8903463691723834, 0.02251789633045923, 2.642611359242201)",False,False,1.0065061891737417
experiments_nov_6_no_lookahead/exp_samples-0020_ep-000_control-2,Filtered MPPI with obstacle costs,True,False,False,obs,20,50,5.0,0.0,4.0,False,False,0,"(4.5555, -2.182979, -3.079091)","(-2.965385, 0.077618, 0.0)",0.1,0.02,20.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.004,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",2.0,-3.0,3.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,False,True,3.94,4264.07766,"(-2.9042715372422188, 0.06517985612917976, 2.5165649472691696)",False,False,1.0025761387749645
experiments_nov_6_no_lookahead/exp_samples-0020_ep-000_control-3,Filtered MPPI with BRT costs,True,False,False,brt,20,50,5.0,0.0,4.0,False,False,0,"(4.5555, -2.182979, -3.079091)","(-2.965385, 0.077618, 0.0)",0.1,0.02,20.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.004,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",2.0,-3.0,3.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,False,True,3.92,4280.79264,"(-2.8903463691723834, 0.02251789633045923, 2.642611359242201)",False,False,1.0065061891737417
experiments_nov_6_no_lookahead/exp_samples-0020_ep-000_control-4,Shield MPPI,False,False,False,shield,20,50,5.0,0.0,4.0,False,False,0,"(4.5555, -2.182979, -3.079091)","(-2.965385, 0.077618, 0.0)",0.1,0.02,20.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.004,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",2.0,-3.0,3.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,False,True,3.92,4271.43379,"(-2.888156595236053, 0.022843145445357278, 2.5508609740814947)",False,False,1.0043057227553198
experiments_nov_6_no_lookahead/exp_samples-0020_ep-000_control-5,Sample-safe MPPI (our method),True,False,True,obs,20,50,5.0,0.0,4.0,False,False,0,"(4.5555, -2.182979, -3.079091)","(-2.965385, 0.077618, 0.0)",0.1,0.02,20.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.004,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",2.0,-3.0,3.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,False,True,3.92,4253.12103,"(-2.8853898053506635, 0.0436057020850298, 2.4974283638753807)",False,False,1.0
experiments_nov_6_no_lookahead/exp_samples-0020_ep-001_control-0,Vanilla MPPI with obstacle costs,False,False,False,obs,20,50,5.0,0.0,4.0,False,False,1,"(-4.158205, -3.151707, -1.37235)","(1.307028, 3.911144, 0.0)",0.1,0.02,20.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.004,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",2.0,-3.0,3.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,True,False,1.68,7285.78986,"(-1.4605439616093185, -4.966235350352648, -0.422793210679012)",False,False,
experiments_nov_6_no_lookahead/exp_samples-0020_ep-001_control-1,Vanilla MPPI with BRT costs,False,False,False,brt,20,50,5.0,0.0,4.0,False,False,1,"(-4.158205, -3.151707, -1.37235)","(1.307028, 3.911144, 0.0)",0.1,0.02,20.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.004,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",2.0,-3.0,3.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,True,False,13.98,204508.05189,"(4.325170405644265, -0.45090940423475334, 2.7092781678479483)",False,False,
experiments_nov_6_no_lookahead/exp_samples-0020_ep-001_control-2,Filtered MPPI with obstacle costs,True,False,False,obs,20,50,5.0,0.0,4.0,False,False,1,"(-4.158205, -3.151707, -1.37235)","(1.307028, 3.911144, 0.0)",0.1,0.02,20.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.004,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",2.0,-3.0,3.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,False,False,19.98,36096.55439,"(-1.2603691217398398, 2.972824031069008, 3.109734569551133)",False,False,
experiments_nov_6_no_lookahead/exp_samples-0020_ep-001_control-3,Filtered MPPI with BRT costs,True,False,False,brt,20,50,5.0,0.0,4.0,False,False,1,"(-4.158205, -3.151707, -1.37235)","(1.307028, 3.911144, 0.0)",0.1,0.02,20.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.004,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",2.0,-3.0,3.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,False,False,19.98,50051.70921,"(-3.287027835289365, 0.21567030412378793, -0.4758565640511798)",False,False,
