path,control_profile,apply_safety_filter_to_final_control,apply_safety_filter_to_nominal_trajectory,apply_safety_filter_to_samples,cost_from_obstacles_or_BRT,mppi_samples,mppi_horizon,mppi_temperature,mppi_angvel_control_noise_mean,mppi_angvel_control_noise_stddev,mppi_initial_control_is_mean,save_samples,episode_id,init_state,goal_state,goal_state_threshold,timestep,trial_max_duration,brt_filename,safety_filter_type,safety_filter_value_threshold,dynamics_name,state_dim,state_labels,control_dim,control_labels,dynamics_linvel,dynamics_angvel_min,dynamics_angvel_max,Phi_terminal_state_cost_weights,Q_running_state_cost_weights,action_cost_weights,crashed,goal_reached,time_elapsed,total_cost,terminal_state,control_compute_time_avg,control_compute_time_std,relative_cost
experiments_oct_1/exp_samples-0020_ep-000_control-0,Vanilla MPPI with obstacle costs,False,False,False,obs,20,25,5.0,0.0,8.0,False,True,0,"(3.37555, 3.482979, 2.604091)","(4.077618, -1.965385, 0.0)",0.1,0.02,15.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",4.0,-6.0,6.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,True,False,2.3000000000000003,9155.12371,"(-5.02554041794566, 5.873893754598957, 1.9998512711146361)",False,False,
experiments_oct_1/exp_samples-0020_ep-000_control-1,Vanilla MPPI with BRT costs,False,False,False,brt,20,25,5.0,0.0,8.0,False,True,0,"(3.37555, 3.482979, 2.604091)","(4.077618, -1.965385, 0.0)",0.1,0.02,15.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",4.0,-6.0,6.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,True,False,0.92,42026.98828,"(-0.18214247666787353, 3.2546891091782997, -2.517884584090035)",False,False,
experiments_oct_1/exp_samples-0020_ep-000_control-2,Filtered MPPI with obstacle costs,True,False,False,obs,20,25,5.0,0.0,8.0,False,True,0,"(3.37555, 3.482979, 2.604091)","(4.077618, -1.965385, 0.0)",0.1,0.02,15.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",4.0,-6.0,6.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,False,True,4.74,10940.83192,"(4.047310369756286, -1.9700432486856854, 0.33114786860177725)",False,False,
experiments_oct_1/exp_samples-0020_ep-000_control-3,Filtered MPPI with BRT costs,True,False,False,brt,20,25,5.0,0.0,8.0,False,True,0,"(3.37555, 3.482979, 2.604091)","(4.077618, -1.965385, 0.0)",0.1,0.02,15.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",4.0,-6.0,6.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,False,True,4.72,11025.86789,"(4.027780474996044, -1.9955782356488814, 0.07544398110658967)",False,False,
experiments_oct_1/exp_samples-0020_ep-000_control-4,Sample-safe MPPI (our method),True,False,True,obs,20,25,5.0,0.0,8.0,False,True,0,"(3.37555, 3.482979, 2.604091)","(4.077618, -1.965385, 0.0)",0.1,0.02,15.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",4.0,-6.0,6.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,False,True,5.04,4406.89114,"(4.042641142145771, -1.9748302068548653, -0.031041293858414143)",False,False,
experiments_oct_1/exp_samples-0020_ep-001_control-0,Vanilla MPPI with obstacle costs,False,False,False,obs,20,25,5.0,0.0,8.0,False,True,1,"(-4.158205, -3.151707, -1.37235)","(1.307028, 3.911144, 0.0)",0.1,0.02,15.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",4.0,-6.0,6.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,True,False,4.96,21771.41204,"(5.01643878027666, -0.28818224392827657, 1.3386955970466303)",False,False,
experiments_oct_1/exp_samples-0020_ep-001_control-1,Vanilla MPPI with BRT costs,False,False,False,brt,20,25,5.0,0.0,8.0,False,True,1,"(-4.158205, -3.151707, -1.37235)","(1.307028, 3.911144, 0.0)",0.1,0.02,15.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",4.0,-6.0,6.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,True,False,2.56,71837.63717,"(5.028142518959432, -5.062842470686901, 0.42781621388158886)",False,False,
experiments_oct_1/exp_samples-0020_ep-001_control-2,Filtered MPPI with obstacle costs,True,False,False,obs,20,25,5.0,0.0,8.0,False,True,1,"(-4.158205, -3.151707, -1.37235)","(1.307028, 3.911144, 0.0)",0.1,0.02,15.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",4.0,-6.0,6.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,False,False,14.98,25813.02505,"(2.16164018799916, -1.9668063516253753, 2.7037555495619117)",False,False,
experiments_oct_1/exp_samples-0020_ep-001_control-3,Filtered MPPI with BRT costs,True,False,False,brt,20,25,5.0,0.0,8.0,False,True,1,"(-4.158205, -3.151707, -1.37235)","(1.307028, 3.911144, 0.0)",0.1,0.02,15.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",4.0,-6.0,6.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,False,True,4.32,7953.12094,"(1.3516395747679173, 3.948272086556213, -1.3681704518219715)",False,False,
experiments_oct_1/exp_samples-0020_ep-001_control-4,Sample-safe MPPI (our method),True,False,True,obs,20,25,5.0,0.0,8.0,False,True,1,"(-4.158205, -3.151707, -1.37235)","(1.307028, 3.911144, 0.0)",0.1,0.02,15.0,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"('x', 'y', 'theta')",1,"('angvel',)",4.0,-6.0,6.0,"(0.0, 0.0, 0.0)","(1.0, 1.0, 0.0)",0.2,False,True,3.04,6314.53166,"(1.2131322081167986, 3.8990176807180856, 0.014053047820297149)",False,False,
