path,control_profile,apply_safety_filter_to_final_control,apply_safety_filter_to_nominal_trajectory,apply_safety_filter_to_samples,cost_from_obstacles_or_BRT,mppi_samples,mppi_horizon,save_samples,init_state,goal_state,goal_state_threshold,timestep,trial_max_duration,mppi_temperature,mppi_angvel_control_noise_mean,mppi_angvel_control_noise_stddev,mppi_initial_control_is_mean,brt_filename,safety_filter_type,safety_filter_value_threshold,dynamics_name,state_dim,state_labels,control_dim,control_labels,dynamics_linvel,dynamics_angvel_min,dynamics_angvel_max,Phi_terminal_state_cost_weights,Q_running_state_cost_weights,action_cost_weights,crashed,goal_reached,time_elapsed,total_cost,terminal_state,control_compute_time_avg,control_compute_time_std,apply_safety_filter_to_final_chosen_control,final_safety_filter
experiments_sep_24/exp_samples-0020_trial-000_control-0,Vanilla MPPI with obstacle costs,False,False,False,obs,20,25,True,"[3.37555, 3.482979, 2.604091]","[4.077618, -1.965385, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,8.540000000000001,27806.63093,"[4.140546469600313, -2.007724448757582, 3.041503626569848]",False,False,,
experiments_sep_24/exp_samples-0020_trial-000_control-1,Vanilla MPPI with BRT costs,False,False,False,brt,20,25,True,"[3.37555, 3.482979, 2.604091]","[4.077618, -1.965385, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,True,False,0.92,42026.98828,"[-0.18214247666787353, 3.2546891091782997, -2.517884584090035]",False,False,,
experiments_sep_24/exp_samples-0020_trial-000_control-2,Filtered MPPI with obstacle costs,,False,False,obs,20,25,True,"[3.37555, 3.482979, 2.604091]","[4.077618, -1.965385, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,4.66,10603.37904,"[4.017082280255656, -2.0134479132818934, -0.01891374740786178]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-000_control-3,Filtered MPPI with BRT costs,,False,False,brt,20,25,True,"[3.37555, 3.482979, 2.604091]","[4.077618, -1.965385, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,4.72,11025.86789,"[4.027780474996044, -1.9955782356488814, 0.07544398110658967]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-000_control-4,Sample-safe MPPI (our method),,False,True,obs,20,25,True,"[3.37555, 3.482979, 2.604091]","[4.077618, -1.965385, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,5.04,4406.89114,"[4.042641142145771, -1.9748302068548653, -0.031041293858414143]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-001_control-0,Vanilla MPPI with obstacle costs,False,False,False,obs,20,25,True,"[-4.158205, -3.151707, -1.37235]","[1.307028, 3.911144, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,False,14.98,38829.40512,"[-5.43017671426638, -4.618295857541495, 2.0501936116433317]",False,False,,
experiments_sep_24/exp_samples-0020_trial-001_control-1,Vanilla MPPI with BRT costs,False,False,False,brt,20,25,True,"[-4.158205, -3.151707, -1.37235]","[1.307028, 3.911144, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,False,14.98,98809.29073,"[-5.299123731787854, -4.910404929788016, 2.4280099543410882]",False,False,,
experiments_sep_24/exp_samples-0020_trial-001_control-2,Filtered MPPI with obstacle costs,,False,False,obs,20,25,True,"[-4.158205, -3.151707, -1.37235]","[1.307028, 3.911144, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,4.5600000000000005,9177.09514,"[1.2654851818154278, 3.8865174909648252, -0.024460557281683393]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-001_control-3,Filtered MPPI with BRT costs,,False,False,brt,20,25,True,"[-4.158205, -3.151707, -1.37235]","[1.307028, 3.911144, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,4.32,7953.12094,"[1.3516395747679173, 3.948272086556213, -1.3681704518219715]",False,False,False,True
experiments_sep_24/exp_samples-0020_trial-001_control-4,Sample-safe MPPI (our method),,False,True,obs,20,25,True,"[-4.158205, -3.151707, -1.37235]","[1.307028, 3.911144, 0]",0.1,0.02,15,5.0,0.0,8.0,False,config/brt_dubins_cluttered_0.hdf5,least_restrictive,0.01,dubins,3,"['x', 'y', 'theta']",1,['angvel'],4.0,-6.0,6.0,"[0.0, 0.0, 0.0]","[1.0, 1.0, 0.0]",0.2,False,True,3.04,6314.53166,"[1.2131322081167986, 3.8990176807180856, 0.014053047820297149]",False,False,False,True
